eps,F_in_circuit,F_in_analytic,P_success_circuit,P_success_analytic,F_out_circuit,F_out_analytic,eps_prime_circuit,eps_prime_analytic,gain_circuit,purity_out,C_in,C_out,N_in,N_out,abs_err_P_success,abs_err_F_out,abs_err_eps_prime
0.082,0.9384999999999997,0.9385,0.8820429999999995,0.882043,0.9985706479162578,0.998570647916258,0.0019058027783228997,0.001905802778322599,0.06007064791625816,0.9971440198956883,0.8770000000000004,0.9971412958324226,0.4384999999999998,0.49857064791625805,5.551115123125783e-16,2.220446049250313e-16,3.0075768264747893e-16
0.084,0.9369999999999996,0.937,0.8792919999999996,0.879292,0.9984953803742098,0.9984953803742102,0.002006159501053576,0.0020061595010531204,0.06149538037421021,0.9969937792553776,0.8740000000000002,0.996990760748443,0.4369999999999996,0.49849538037421004,3.3306690738754696e-16,3.3306690738754696e-16,4.557985933129061e-16
0.08600000000000001,0.9354999999999996,0.9355,0.8765469999999994,0.876547,0.99841793993933,0.9984179399393301,0.0021094134142266205,0.002109413414226505,0.06291793993933048,0.9968392170973746,0.8709999999999981,0.9968358798786549,0.43549999999999955,0.49841793993933026,5.551115123125783e-16,1.1102230246251565e-16,1.1535911115245767e-16
0.088,0.9339999999999995,0.9339999999999999,0.8738079999999993,0.873808,0.998338307728929,0.998338307728929,0.002215589694761396,0.00221558969476132,0.06433830772892946,0.9966802970861297,0.8679999999999987,0.9966766154578484,0.4339999999999995,0.49833830772892906,7.771561172376096e-16,0.0,7.589415207398531e-17
0.09,0.9324999999999997,0.9325,0.8710749999999994,0.871075,0.9982564647131418,0.9982564647131418,0.002324713715810963,0.002324713715810923,0.06575646471314212,0.9965169826466791,0.8649999999999993,0.9965129294262743,0.43249999999999966,0.4982564647131419,6.661338147750939e-16,0.0,3.9898639947466563e-17
0.092,0.9309999999999997,0.931,0.8683479999999996,0.868348,0.9981723917139209,0.9981723917139211,0.0024368110481054472,0.002436811048105137,0.0671723917139212,0.9963492369639052,0.862,0.9963447834278584,0.4309999999999997,0.49817239171392114,4.440892098500626e-16,2.220446049250313e-16,3.1008182133085427e-16
0.094,0.9294999999999997,0.9295,0.8656269999999994,0.865627,0.9980860694040271,0.9980860694040274,0.002551907461297187,0.00255190746129684,0.06858606940402745,0.996177022981823,0.8589999999999994,0.9961721388080517,0.42949999999999977,0.49808606940402744,6.661338147750939e-16,3.3306690738754696e-16,3.469446951953614e-16
0.096,0.9279999999999996,0.9279999999999999,0.8629119999999993,0.862912,0.9979974783060147,0.997997478306015,0.002670028925313724,0.0026700289253133577,0.0699974783060151,0.9960003034028764,0.856,0.9959949566120652,0.4279999999999997,0.49799747830601504,6.661338147750939e-16,3.3306690738754696e-16,3.664603343001005e-16
0.098,0.9264999999999995,0.9265,0.8602029999999995,0.8602029999999999,0.9979065987912153,0.9979065987912156,0.002791201611712868,0.0027912016117125848,0.0714065987912158,0.9958190406872591,0.8529999999999995,0.9958131975824689,0.42649999999999977,0.49790659879121557,4.440892098500626e-16,2.220446049250313e-16,2.8319360745321376e-16
0.1,0.9249999999999997,0.925,0.8574999999999995,0.8574999999999999,0.9978134110787171,0.9978134110787172,0.00291545189504383,0.0029154518950437326,0.07281341107871742,0.9956331970522487,0.8499999999999993,0.9956268221574327,0.4249999999999997,0.49781341107871735,4.440892098500626e-16,1.1102230246251565e-16,9.75781955236954e-17
0.10200000000000001,0.9234999999999997,0.9235,0.8548029999999994,0.854803,0.9977178952343404,0.9977178952343405,0.003042806354212798,0.003042806354212609,0.07421789523434075,0.9954427344715631,0.8469999999999989,0.9954357904686822,0.42349999999999954,0.4977178952343406,5.551115123125783e-16,1.1102230246251565e-16,1.8908485888147197e-16
0.10400000000000001,0.9219999999999996,0.9219999999999999,0.8521119999999993,0.852112,0.9976200311696114,0.9976200311696115,0.0031732917738514685,0.0031732917738513254,0.0756200311696118,0.9952476146747348,0.844000000000001,0.9952400623392147,0.4219999999999995,0.4976200311696115,6.661338147750939e-16,1.1102230246251565e-16,1.4311468676808659e-16
0.106,0.9204999999999997,0.9205,0.8494269999999995,0.8494269999999999,0.9975197986407305,0.9975197986407307,0.003306935145692691,0.0033069351456923315,0.07701979864073083,0.9950477991465047,0.8409999999999982,0.9950395972814235,0.42049999999999976,0.4975197986407306,4.440892098500626e-16,2.220446049250313e-16,3.5952144039619327e-16
0.108,0.9189999999999996,0.919,0.8467479999999994,0.846748,0.99741717724754,0.99741717724754,0.003443763669946698,0.0034437636699466666,0.07841717724754038,0.9948432491262411,0.8380000000000006,0.9948343544951057,0.4189999999999998,0.4974171772475402,5.551115123125783e-16,0.0,3.122502256758253e-17
0.11,0.9174999999999995,0.9175,0.8440749999999995,0.8440749999999999,0.9973121464324849,0.9973121464324852,0.003583804756686811,0.0035838047566863138,0.07981214643248535,0.9946339256073707,0.8349999999999991,0.9946242928649786,0.41749999999999976,0.4973121464324851,4.440892098500626e-16,3.3306690738754696e-16,4.974319567363494e-16
0.112,0.9159999999999997,0.916,0.8414079999999995,0.8414079999999999,0.997204685479577,0.9972046854795771,0.0037270860272307083,0.003727086027230548,0.08120468547957727,0.994419789336845,0.8320000000000007,0.9944093709591432,0.4159999999999998,0.4972046854795771,4.440892098500626e-16,1.1102230246251565e-16,1.6046192152785466e-16
0.114,0.9144999999999996,0.9145,0.8387469999999995,0.8387469999999999,0.9970947735133475,0.9970947735133479,0.0038736353155366388,0.0038736353155361517,0.08259477351334787,0.9942008008146138,0.8289999999999993,0.9941895470267119,0.41449999999999965,0.49709477351334774,4.440892098500626e-16,3.3306690738754696e-16,4.870236158804886e-16
0.116,0.9129999999999997,0.913,0.8360919999999994,0.836092,0.9969823894978064,0.9969823894978064,0.004023480669591499,0.004023480669591385,0.08398238949780668,0.993976920293137,0.8259999999999998,0.9939647789955964,0.4129999999999998,0.4969823894978065,5.551115123125783e-16,0.0,1.1362438767648086e-16
