p,eps0,n,F,C
0.1,0.1,6,0.8579180524545136,0.7158361049090282
0.1,0.1,7,0.8578903522218595,0.7157807044437184
0.1,0.1,8,0.8578819221574183,0.715763844314836
0.1,0.1,9,0.8578793561163781,0.7157587122327569
0.1,0.1,10,0.8578785749635192,0.715757149927039
0.1,0.1,11,0.8578783371538217,0.7157566743076432
0.1,0.1,12,0.857878264754348,0.7157565295086971
0.1,0.1,13,0.8578782427124569,0.7157564854249127
0.1,0.1,14,0.8578782360017676,0.7157564720035354
0.1,0.1,15,0.8578782339586727,0.7157564679173452
0.1,0.1,16,0.857878233336642,0.7157564666732836
0.1,0.1,17,0.857878233147261,0.715756466294522
0.1,0.1,18,0.8578782330896025,0.7157564661792043
0.1,0.1,19,0.857878233072048,0.7157564661440958
0.1,0.1,20,0.8578782330667032,0.7157564661334068
0.1,0.1,21,0.8578782330650762,0.7157564661301515
0.1,0.1,22,0.8578782330645807,0.7157564661291618
0.1,0.1,23,0.8578782330644299,0.7157564661288597
0.1,0.1,24,0.8578782330643839,0.7157564661287683
0.1,0.1,25,0.85787823306437,0.7157564661287401
0.1,0.1,26,0.8578782330643657,0.7157564661287318
0.1,0.1,27,0.8578782330643646,0.7157564661287297
0.1,0.1,28,0.8578782330643641,0.7157564661287278
0.1,0.1,29,0.8578782330643641,0.7157564661287282
0.1,0.1,30,0.857878233064364,0.7157564661287291
0.1,0.1,31,0.857878233064364,0.7157564661287291
0.1,0.1,32,0.857878233064364,0.7157564661287291
0.1,0.1,33,0.857878233064364,0.7157564661287291
0.1,0.1,34,0.857878233064364,0.7157564661287291
0.1,0.1,35,0.857878233064364,0.7157564661287291
0.1,0.1,36,0.857878233064364,0.7157564661287291
0.1,0.1,37,0.857878233064364,0.7157564661287291
0.1,0.1,38,0.857878233064364,0.7157564661287291
0.1,0.1,39,0.857878233064364,0.7157564661287291
0.1,0.1,40,0.857878233064364,0.7157564661287291
0.1,0.5,0,0.625,0.25000000000000006
0.1,0.5,1,0.7279838510451813,0.4559677020903622
0.1,0.5,2,0.8016289283622697,0.6032578567245397
0.1,0.5,3,0.8377105690951184,0.6754211381902369
0.1,0.5,4,0.8513163681815151,0.7026327363630305
0.1,0.5,5,0.8558267767188074,0.7116535534376148
0.1,0.5,6,0.8572465244762199,0.7144930489524398
0.1,0.5,7,0.8576848518874243,0.7153697037748482
0.1,0.5,8,0.8578191829415509,0.7156383658831021
0.1,0.5,9,0.8578602236403567,0.7157204472807136
0.1,0.5,10,0.8578727440782057,0.7157454881564107
0.1,0.5,11,0.8578765607606889,0.7157531215213776
0.1,0.5,12,0.8578777236946573,0.7157554473893145
0.1,0.5,13,0.8578780779385128,0.715756155877025
0.1,0.5,14,0.8578781858263028,0.7157563716526059
0.1,0.5,15,0.8578782186806213,0.7157564373612425
0.1,0.5,16,0.8578782286847739,0.715756457369548
0.1,0.5,17,0.8578782317308944,0.7157564634617898
0.1,0.5,18,0.8578782326583649,0.7157564653167308
0.1,0.5,19,0.8578782329407515,0.7157564658815034
0.1,0.5,20,0.8578782330267285,0.7157564660534568
0.1,0.5,21,0.8578782330529053,0.7157564661058108
