eps,F_in,p_star_replace,p_star_pauli,weak_noise_slope_K
0.24000000000000002,0.82,0.11576687629894741,0.1085314465302632,1.3060226979800251
0.242,0.8185,0.11636833195581983,0.1090953112085811,1.3089525118389587
0.244,0.817,0.11696564094808691,0.10965528838883148,1.3118866285726412
0.246,0.8155,0.11755883203948224,0.1102114050370146,1.3148249594145334
0.248,0.8140000000000001,0.11814793364433625,0.11076368779156523,1.3177674138124174
0.25,0.8125,0.11873297383256974,0.11131216296803413,1.3207138994050838
0.252,0.8109999999999999,0.11931398033459661,0.11185685656368433,1.3236643219988113
0.254,0.8095,0.11989098054613778,0.11239779426200416,1.3266185855436423
0.256,0.808,0.12046400153294676,0.11293500143713758,1.3295765921094502
0.258,0.8065,0.12103307003545044,0.11346850315823478,1.3325382418618041
0.26,0.8049999999999999,0.12159821247330456,0.11399832419372302,1.3355034330376288
0.262,0.8035,0.12215945494986918,0.11452448901550236,1.3384720619206596
0.264,0.802,0.12271682325660255,0.11504702180306489,1.341444022816699
0.266,0.8005,0.12327034287737651,0.11556594644754048,1.3444192080286628
0.268,0.7989999999999999,0.12382003899271447,0.11608128655566982,1.347397507831434
0.27,0.7975,0.12436593648395494,0.11659306545370776,1.350378810446513
0.272,0.796,0.12490805993734026,0.1171013061912565,1.3533630020164682
0.274,0.7945,0.12544643364803348,0.1176060315450314,1.3563499665791905
0.276,0.7929999999999999,0.12598108162406338,0.11810726402255942,1.3593395860419475
0.278,0.7915,0.12651202759020141,0.11860502586581383,1.3623317401552526
0.28,0.79,0.12703929499177002,0.1190993390547844,1.365326306486528
0.28200000000000003,0.7885,0.12756290699838282,0.1195902253109839,1.368323160393587
0.28400000000000003,0.7869999999999999,0.1280828865076223,0.12007770610089592,1.3713221749979188
0.28600000000000003,0.7855,0.12859925614865092,0.12056180263936024,1.3743232211577912
0.28800000000000003,0.784,0.12911203828576073,0.12104253589290069,1.3773261674411632
0.29000000000000004,0.7825,0.12962125502186084,0.12151992658299454,1.3803308800984158
0.292,0.781,0.13012692820190558,0.12199399518928648,1.3833372230349006
0.294,0.7795000000000001,0.13062907941626192,0.12246476195274555,1.386345057783311
0.296,0.778,0.1311277300040236,0.12293224687877213,1.3893542434758748
0.298,0.7765,0.13162290105624966,0.12339646974023405,1.392364636816374
0.3,0.775,0.13211461341919423,0.12385745008049459,1.3953760920519926
0.302,0.7735000000000001,0.13260288769741413,0.12431520721632575,1.3983884609450004
0.304,0.772,0.1330877442568774,0.12476976024082255,1.4014015927442645
0.306,0.7705,0.13356920322800847,0.12522112802625796,1.4044153341566086
0.308,0.769,0.13404728450864611,0.12566932922685572,1.4074295293180037
0.31,0.7675000000000001,0.13452200776700746,0.1261143822815695,1.4104440197646155
0.312,0.766,0.13499339244455894,0.126556305416774,1.4134586444036903
0.314,0.7645,0.13546145775885676,0.1269951166489282,1.4164732394843034
0.316,0.763,0.13592622270633642,0.1274308337871904,1.4194876385679567
0.318,0.7615000000000001,0.13638770606505554,0.12786347443598958,1.4225016724990447
0.32,0.76,0.13684592639738472,0.12829305599754817,1.4255151693751842
0.322,0.7585,0.13730090205267734,0.128719595674385,1.4285279545174094
0.324,0.757,0.13775265116985308,0.12914311047173727,1.4315398504402532
0.326,0.7555000000000001,0.13820119167997882,0.12956361719998014,1.4345506768216996
0.328,0.754,0.1386465413087847,0.12998113247698567,1.437560250473027
0.33,0.7525,0.13908871757914468,0.13039567273044814,1.4405683853085414
0.332,0.751,0.13952773781351543,0.13080725420017073,1.4435748923152079
0.334,0.7495,0.1399636191363351,0.13121589294031416,1.4465795795221814
0.336,0.748,0.14039637847638256,0.13162160482160865,1.4495822519702517
0.338,0.7464999999999999,0.140826032569098,0.13202440553352937,1.452582711681197
0.34,0.745,0.1412525979588649,0.13242431058643586,1.455580757627069
0.342,0.7435,0.14167609100125544,0.13282133531367699,1.458576185699395
0.34400000000000003,0.742,0.14209652786523824,0.13321549487366086,1.4615687886783255
0.34600000000000003,0.7404999999999999,0.14251392453535103,0.1336068042518916,1.4645583562017188
0.34800000000000003,0.739,0.1429282968138371,0.13399527826297228,1.467544674734178
0.35000000000000003,0.7375,0.14333966032274817,0.1343809315525764,1.4705275275360452
0.35200000000000004,0.736,0.14374803050601076,0.1347637785993851,1.473506694632365
0.354,0.7345,0.14415342263146233,0.13514383371699593,1.4764819527818156
0.356,0.733,0.1445558517928515,0.13552111105579828,1.4794530754456328
0.358,0.7315,0.14495533291180718,0.13589562460481924,1.482419832756515
0.36,0.73,0.14535188073977617,0.13626738819354017,1.485381991487537
0.362,0.7285,0.14574550985992907,0.1366364154936835,1.48833931502107
0.364,0.727,0.14613623468903533,0.13700272002097064,1.4912915633177226
0.366,0.7255,0.14652406947930846,0.13736631513685169,1.4942384928853123
0.368,0.724,0.14690902832022162,0.13772721405020777,1.4971798567478773
0.37,0.7225,0.14729112514029338,0.13808542981902505,1.500115404414736
0.372,0.721,0.14767037370884697,0.13844097535204403,1.5030448818496112
0.374,0.7195,0.14804678763773468,0.13879386341037628,1.5059680314398238
0.376,0.718,0.1484203803830492,0.13914410660910861,1.5088845919655776
0.378,0.7165,0.14879116524678837,0.1394917174188641,1.511794298569332
0.38,0.715,0.14915915537850855,0.13983670816735178,1.5146968827252831
0.382,0.7135,0.14952436377694417,0.14017909104088516,1.5175920722089749
0.384,0.712,0.1498868032916047,0.1405188780858794,1.5204795910670335
0.386,0.7105,0.1502464866243433,0.14085608121032187,1.5233591595870515
0.388,0.709,0.15060342633090323,0.14119071218522178,1.5262304942676368
0.39,0.7075,0.1509576348224379,0.14152278264603554,1.529093307788627
0.392,0.706,0.1513091243670074,0.14185230409406946,1.5319473089815017
0.394,0.7045,0.15165790709105112,0.1421792878978604,1.5347922027999894
0.396,0.703,0.15200399498083658,0.1425037452945343,1.537627690290899
0.398,0.7015,0.15234739988388626,0.14282568739114337,1.5404534685651787
0.4,0.7,0.1526881335103803,0.14314512516598152,1.5432692307692306
0.402,0.6985,0.1530262074345381,0.14346206946987947,1.5460746660564841
0.404,0.697,0.1533616330959773,0.14377653102747873,1.5488694595592558
0.406,0.6955,0.15369442180105147,0.14408852043848575,1.5516532923609057
0.40800000000000003,0.694,0.15402458472416675,0.14439804817890634,1.5544258414683116
0.41000000000000003,0.6925,0.15435213290907657,0.1447051246022593,1.5571867797846743
0.41200000000000003,0.691,0.15467707727015734,0.1450097599407725,1.5599357760826786
0.41400000000000003,0.6895,0.15499942859366198,0.1453119643065581,1.5626724949780235
0.41600000000000004,0.688,0.155319197538956,0.14561174769277127,1.5653965969033392
0.41800000000000004,0.6865,0.15563639463973025,0.14590911997474712,1.5681077380825192
0.42,0.685,0.15595103030519897,0.14620409091112402,1.5708055705054775
0.422,0.6835,0.1562631148212744,0.14649667014494475,1.5734897419033536
0.424,0.6819999999999999,0.15657265835172,0.1467868672047375,1.576159895724193
0.426,0.6805,0.156879670939312,0.14707469150560498,1.5788156711091155
0.428,0.679,0.1571841625069263,0.1473601523502434,1.5814567028689974
0.43,0.6775,0.1574861428586634,0.14764325892999694,1.5840826214616874
0.432,0.6759999999999999,0.1577856216809313,0.1479240203258731,1.5866930529697856
0.434,0.6745,0.15808260854351117,0.14820244550954173,1.5892876190789949
0.436,0.673,0.15837711290060857,0.14847854334432053,1.5918659370570853
0.438,0.6715,0.15866914409188748,0.14875232258614451,1.5944276197334808
