convention,eps,p,F_in,C_in,P_success,F_out,gain,purity_out,C_out,N_out,concurrence_gain,bell_leakage,trace_distance_to_ideal,min_eigenvalue
replace,0.05,0.14,0.9624999999999996,0.9250000000000009,0.6057903266919996,0.8282116190625294,-0.1342883809374702,0.6964743236105759,0.6564232381250594,0.3282116190625294,-0.2685767618749415,2.4750499366589453e-17,0.17128264931238624,0.04644032433403913
replace,0.05,0.145,0.9624999999999996,0.9250000000000009,0.5972021708445738,0.8213207669506194,-0.14117923304938018,0.6859548873255094,0.6426415339012391,0.3213207669506195,-0.2823584660987618,1.6254833407481474e-17,0.17817350142429617,0.048416767038820065
replace,0.05,0.15,0.9624999999999996,0.9250000000000009,0.5887839753906245,0.8143879106838458,-0.14811208931615383,0.6754992143773638,0.6287758213676923,0.31438791068384586,-0.29622417863230865,7.752609306701284e-17,0.1851063576910698,0.05041355837309802
replace,0.05,0.155,0.9624999999999996,0.9250000000000009,0.580533111474566,0.8074146822231706,-0.155085317776829,0.665111963291603,0.6148293644463421,0.3074146822231706,-0.31017063555365887,7.624636043778591e-17,0.19207958615174486,0.052430332605378605
replace,0.05,0.16,0.9624999999999996,0.9250000000000009,0.5724469790079996,0.8004027795936655,-0.16209722040633412,0.6547977806972256,0.6008055591873305,0.30040277959366557,-0.32419444081267046,2.28064561482874e-17,0.1990914887812501,0.05446670022441373
replace,0.05,0.165,0.9624999999999996,0.9250000000000009,0.5645230065004957,0.7933539665349264,-0.16914603346507318,0.644561293105914,0.586707933069853,0.2933539665349264,-0.3382920669301479,2.4549344559334013e-17,0.20614030183998927,0.05652224776105084
replace,0.05,0.17,0.9624999999999996,0.9250000000000009,0.5567586508903746,0.7862700720068286,-0.17622992799317094,0.634407098510352,0.572540144013657,0.28627007200682875,-0.3524598559863439,1.5921264148430244e-17,0.21322419636808693,0.05859653765204564
replace,0.05,0.17500000000000002,0.9624999999999996,0.9250000000000009,0.5491513973754878,0.7791529895460737,-0.18334701045392587,0.6243397578254223,0.5583059790921474,0.2791529895460738,-0.3666940209078535,5.977989700427464e-17,0.2203412788288419,0.06068910814795542
replace,0.05,0.18,0.9624999999999996,0.9250000000000009,0.5416987592439998,0.7720046764693268,-0.19049532353067278,0.6143637861977541,0.5440093529386538,0.2720046764693268,-0.3809906470613471,3.886856497282703e-17,0.22748959190558876,0.06279947326716492
replace,0.05,0.185,0.9624999999999996,0.9250000000000009,0.5343982777051676,0.7648271529191493,-0.1976728470808503,0.6044836442107879,0.5296543058382985,0.2648271529191495,-0.3953456941617024,1.0031638967261306e-17,0.2346671154557663,0.06492712279801165
replace,0.05,0.19,0.9624999999999996,0.9250000000000009,0.5272475217201248,0.7576225007493531,-0.20487749925064647,0.5947037290141272,0.5152450014987068,0.2576225007493531,-0.40975499850129415,2.073297678446709e-17,0.24187176762556245,0.06707152235088473
replace,0.05,0.195,0.9624999999999996,0.9250000000000009,0.5202440878326595,0.7503928622468773,-0.2121071377531223,0.5850283654074518,0.5007857244937547,0.2503928622468774,-0.42421427550624624,2.1336535876751828e-17,0.24910140612803838,0.06923211346206037
replace,0.05,0.2,0.9624999999999996,0.9250000000000009,0.5133855999999998,0.743140438687801,-0.21935956131219858,0.5754617969106726,0.4862808773756019,0.24314043868780122,-0.43871912262439905,3.001994620806884e-17,0.2563538296871145,0.07140831375091153
replace,0.1,0.0,0.9249999999999997,0.8499999999999993,0.8574999999999995,0.9978134110787171,0.07281341107871742,0.9956331970522487,0.9956268221574327,0.49781341107871735,0.1456268221574334,1.0651374947871957e-17,7.850462293418876e-17,0.0007288629737608172
replace,0.1,0.005,0.9249999999999997,0.8499999999999993,0.8444534072018588,0.9922055238227938,0.0672055238227941,0.9844931952131165,0.9844110476456057,0.49220552382279403,0.1344110476456064,1.942073955267004e-17,0.005607887255923188,0.00216180597105739
replace,0.1,0.01,0.9249999999999997,0.8499999999999993,0.8316365177094994,0.9865351216122744,0.0615351216122747,0.9733165289472726,0.973070243224555,0.4865351216122744,0.12307024322455573,3.495647487559008e-17,0.011278289466442673,0.0036176171902432366
