circuit,n_cnot,case,case_kind,p_in_PhiP,p_in_PhiM,p_in_PsiP,p_in_PsiM,q,p_out_PhiP,p_out_PhiM,p_out_PsiP,p_out_PsiM,max_bell_offdiag,trace_weight,trace_weight_meaning,norm_err,min_bell_pop,backend_cross_check
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.005,0.8796903541243385,0.040805798671663174,0.039751923601999126,0.0397519236019991,7.781067817884379e-17,0.4125706800068307,parity_visibility,2.220446049250313e-16,0.0397519236019991,2.240e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.01,0.8666701268883384,0.04582518487898688,0.043752344116337216,0.043752344116337244,9.945487546154865e-17,0.38898535864638384,parity_visibility,2.220446049250313e-16,0.043752344116337216,1.665e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.02,0.8410725240997012,0.055647339533318546,0.0516400681834899,0.05164006818348991,2.137403403004156e-17,0.34557606574843036,parity_visibility,4.440892098500626e-16,0.0516400681834899,1.389e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.05,0.7678739167894482,0.08337969633730799,0.0743731934366219,0.07437319343662191,4.848327409273151e-17,0.2411232933937561,parity_visibility,0.0,0.0743731934366219,1.113e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.1,0.6581180989561516,0.12385440577718948,0.10901374763332942,0.10901374763332941,6.22071080055424e-17,0.13006359587805172,parity_visibility,2.220446049250313e-16,0.10901374763332941,1.527e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.15,0.5638849771155998,0.1573291972325374,0.1393929128259313,0.1393929128259313,5.480787061992786e-17,0.06848791412222138,parity_visibility,2.220446049250313e-16,0.1393929128259313,2.833e-17
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.2,0.48500611995104026,0.18419828641370833,0.16539779681762565,0.16539779681762568,2.997936870070684e-16,0.03508988280831994,parity_visibility,0.0,0.16539779681762565,5.551e-17
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.3,0.3701695337160785,0.22062522509162663,0.20460262059614737,0.20460262059614737,6.19642338297717e-16,0.00833354948659185,parity_visibility,2.220446049250313e-16,0.20460262059614737,4.083e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.7499999999999999,0.0833333333333333,0.08333333333333333,0.08333333333333331,1.0977218237560877e-17,0.33333333333333287,parity_visibility,2.220446049250313e-16,0.0833333333333333,8.442e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0001,0.7497583724988749,0.08342498250087496,0.08340832250012505,0.08340832250012499,2.3112719819827995e-17,0.3329668549396796,parity_visibility,1.1102230246251565e-16,0.08340832250012499,3.331e-16
